"id","sc_id","device_id","sensor1","sensor2","sensor3","sensor4","sensor5","sensor6","sensor7","sensor8","sensor9","sensor10","sensor11","sensor12","sensor13","sensor14","sensor15","sensor16","sensor17","sensor18","sensor19","sensor20","sensor21","sensor22","sensor23","sensor24","sensor25","sensor26","sensor27","sensor28","sensor29","sensor30","sensor31","sensor32","state","day","created_date","created_at","updated_at"
"397","7","13",1466,955,3868,821,836,2220,2292,938,3799,753,2678,640,721,1602,1009,424,2088,186,301,881,1373,1380,1127,921,303,216,661,549,595,373,964,1164,"first",1,"2021-04-17","2021-04-17 15:27:19","2021-04-17 15:27:19"
"398","7","13",1453,1399,2065,1582,1560,4955,4585,986,1439,1051,2200,1352,5650,3691,6082,5004,1673,579,874,1008,1393,1698,1190,1117,920,1156,605,853,1174,961,985,1071,"last",1,"2021-04-19","2021-04-19 12:28:19","2021-04-19 12:28:19"
"405","7","13",57315,54373,53051,54222,56404,57224,54431,55010,55207,56670,54679,53324,52106,53615,53989,55802,54348,53915,56223,57466,57634,55957,53733,55345,54681,53372,54281,55837,56802,55966,55159,53616,"first",1,"2021-05-15","2021-05-15 06:20:24","2021-05-15 06:20:24"
"406","7","13",54622,51434,52964,54170,53581,53551,54351,51978,54099,53591,52241,53301,52067,53572,53966,53233,54212,53519,53786,54656,54843,53155,53581,52866,54474,53214,51701,53236,54425,53277,53164,53558,"last",1,"2021-05-16","2021-05-16 05:21:24","2021-05-16 05:21:24"
"409","7","13",58188,55135,56174,54627,56587,57041,54520,54686,58021,57644,55498,54014,52602,54235,54319,55921,55227,56514,56956,55470,55826,56463,54028,53200,55357,53861,54711,56231,57218,54159,53570,53946,"first",1,"2021-05-21","2021-05-21 06:53:54","2021-05-21 06:53:54"
"410","7","13",54924,51698,52985,54304,53565,53733,54350,51717,52957,52106,52770,53682,52334,53982,54157,53229,52652,53989,54378,55143,53219,53396,51841,52951,54903,51667,52175,53540,54678,53863,53317,51811,"last",1,"2021-05-22","2021-05-22 03:54:54","2021-05-22 03:54:54"
"414","7","13",54692,51324,52921,51349,53568,53737,53875,51381,52723,52028,53087,51771,52938,54509,54270,53178,53143,51556,51696,52986,53055,52957,51385,52915,53708,51864,52301,53722,54827,52061,53306,51939,"last",1,"2021-05-31","2021-05-31 04:12:22","2021-05-31 04:12:22"
"416","7","13",55350,52070,53596,51809,53762,54363,54322,51909,53126,52984,53460,52067,53082,54647,54450,53348,53285,52133,52195,55454,55489,53167,53528,53123,53751,52093,52539,53911,54880,53983,53427,52012,"last",1,"2021-06-06","2021-06-06 04:05:54","2021-06-06 04:05:54"
"423","7","13",59049,58735,59601,57686,57787,58004,58288,53846,57635,59678,56452,55489,56414,57465,59400,56239,54824,56724,58657,61224,59341,58822,56614,56069,56422,55080,55861,59639,57889,57327,55842,54504,"first",1,"2021-06-13","2021-06-13 06:02:26","2021-06-13 06:02:26"
"434","7","13",55122,54084,54392,54613,55111,57039,53887,52235,55241,55116,54975,52557,51843,52007,54793,54252,54530,53932,53690,53904,55630,55223,53404,53556,54772,53195,53592,55155,54732,54495,53597,52563,"last",1,"2021-06-20","2021-06-20 04:34:18","2021-06-20 04:34:18"
